id_lot;production_date;vaccine_type;production_site;bioreactor_type;bioreactor_volume_l;raw_material_supplier;operator_shift;maintenance_status;sterilization_method;fermentation_time_hours;culture_temperature_c;ph_level;agitation_speed_rpm;oxygen_flow_rate_lpm;glucose_feed_rate_ml_min;nutrient_concentration_g_l;initial_cell_density_e6_ml;final_cell_density_e6_ml;lactate_level_g_l;bioreactor_pressure_psi;harvest_volume_l;filtration_pressure_bar;purification_duration_hours;chromatography_residence_time_min;buffer_ph;raw_material_purity_percent;enzyme_activity_u_ml;viscosity_cp;conductivity_ms_cm;moisture_content_percent;impurity_rate_ppm;endotoxin_level_eu_ml;purification_method;batch_quality_grade;vaccine_yield_g_l
LOT_2025_083;25-03-2025;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;recent;gamma_irradiation;95.5;36.6;7.12;186;9.3;32.8;9.9;0.63;19.5;1.6;4.6;956.5;1.3;18.1;5.3;7.1;98.7;1118;6.1;13.4;1.4;236;1.4;filtration_depth;A;5.8
LOT_2025_084;26-03-2025;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.8;37;7.21;147;12;44.8;8.3;0.51;12;1.1;4.9;931.5;1.1;12;4.4;7.2;99.5;1225;4.4;12.4;1.1;125;0.4;chromatography_affinity;A;4.95
LOT_2025_085;27-03-2025;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;maintenance;steam_in_place;117.5;37.5;6.96;305;21.5;73.5;11;1.02;33.5;5.2;8.1;4650.5;2.4;35.8;5.7;6.8;96.5;930;8.8;15.4;2.7;520;2.8;centrifugation;C;8.8
LOT_2025_086;28-03-2025;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.7;36.8;7.15;283;25.4;81.1;12.2;0.87;25.1;2.4;8.3;4632.5;1.8;24.4;6.2;7;98.7;1157;5.2;14.2;0.8;213;1.1;filtration_tangential;A;7.31
LOT_2025_087;29-03-2025;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;96.9;36.5;7.11;182;8.6;30.6;9.6;0.61;18.9;1.7;4.3;486.2;1.4;18.6;5.2;7;98.3;1106;6.2;13.5;1.5;244;1.5;filtration_depth;B;5.56
LOT_2025_088;30-03-2025;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;48.3;37;7.22;149;12.5;45.2;8.5;0.52;12.4;1.2;5.1;1849.5;1.2;12.4;4.5;7.2;99.4;1217;4.5;12.5;1.2;142;0.5;chromatography_affinity;A;4.91
LOT_2025_089;31-03-2025;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Day;recent;steam_in_place;119.5;37.2;7.06;355;45.8;152.2;14.5;1.22;43.2;5;12.6;9605.5;2.3;40.2;5.5;6.9;96.8;910;9.2;16.4;2.7;480;3;centrifugation;B;12.65
LOT_2025_090;1/4/25;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.4;36.9;7.17;202;18.6;60.7;10.6;0.76;20.4;2.2;5.5;1909.5;1.5;22.6;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.88
LOT_2025_091;2/4/25;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;overdue;gamma_irradiation;94;36.8;7.09;178;8.8;29.5;9.2;0.57;18.2;1.9;4.3;920.5;1.5;17.8;5.2;7;98;1080;6.1;13.3;1.5;260;1.6;filtration_depth;C;5.4
LOT_2025_092;3/4/25;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.9;37;7.21;147;12;44.9;8.3;0.51;12;1.1;4.9;933.5;1.1;12;4.4;7.2;99.5;1226;4.4;12.4;1.1;124;0.4;chromatography_affinity;A;4.96
LOT_2025_093;4/4/25;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;normal;steam_in_place;120.6;37.3;7;314;22.7;76.1;11.7;1.12;36.3;4.5;8.6;4795;2;36.4;5.8;6.9;97.4;958;8.6;15.3;2.4;441;2.4;centrifugation;B;9.42
LOT_2025_094;5/4/25;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;recent;steam_in_place;72.9;36.9;7.14;286;25.5;81.6;12.3;0.88;25.3;2.3;8.4;4655.5;1.7;24.5;6.3;7;98.8;1161;5.1;14;0.8;209;1.1;filtration_tangential;A;7.36
LOT_2025_095;6/4/25;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;96.5;36.5;7.1;181;8.5;30.3;9.5;0.6;18.6;1.8;4.2;482.2;1.4;18.5;5.2;7;98.2;1102;6.2;13.5;1.5;248;1.5;filtration_depth;B;5.52
LOT_2025_096;7/4/25;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;48.5;37.1;7.22;150;12.5;45.3;8.5;0.52;12.5;1.2;5.1;1852.8;1.2;12.5;4.5;7.1;99.3;1219;4.5;12.5;1.2;143;0.5;chromatography_affinity;A;4.9
LOT_2025_097;8/4/25;inactivated;Site_Gamma;stainless_steel;2000;BioSupplies_Inc;Day;normal;steam_in_place;122.1;36.4;6.86;301;20.6;70.6;10.6;1.05;32.2;5.4;7.8;1853.5;2.7;37.6;5.6;6.7;95.5;881;8.2;15.8;3;594;3.4;centrifugation;C;8.56
LOT_2025_098;9/4/25;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.3;36.9;7.17;202;18.6;60.6;10.6;0.76;20.3;2.2;5.5;1908.9;1.5;22.6;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.87
LOT_2025_099;10/4/25;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;recent;gamma_irradiation;95.7;36.6;7.12;186;9.3;32.9;9.9;0.63;19.7;1.6;4.6;959.2;1.3;18.1;5.3;7.1;98.7;1120;6.1;13.4;1.4;233;1.4;filtration_depth;A;5.83
LOT_2025_100;11/4/25;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.7;37;7.2;146;11.9;44.7;8.2;0.5;11.9;1.1;4.9;930.2;1.1;11.9;4.4;7.2;99.5;1224;4.4;12.4;1.1;126;0.4;chromatography_affinity;A;4.95
LOT_2025_101;12/4/25;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Day;recent;steam_in_place;119.1;37.2;7.06;354;45.7;151.6;14.4;1.22;43.1;5;12.6;9570.5;2.3;40.3;5.5;6.9;96.7;909;9.2;16.4;2.7;485;3;centrifugation;B;12.59
LOT_2025_102;13-04-2025;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.6;36.8;7.15;282;25.3;80.9;12.2;0.86;24.9;2.4;8.3;4628.5;1.8;24.3;6.2;7;98.6;1154;5.2;14.2;0.8;216;1.2;filtration_tangential;A;7.29
LOT_2025_103;14-04-2025;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;97.1;36.5;7.11;183;8.6;30.8;9.6;0.61;19.1;1.7;4.3;488.5;1.4;18.6;5.2;7;98.3;1108;6.2;13.5;1.5;242;1.5;filtration_depth;B;5.58
LOT_2025_104;15-04-2025;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;recent;gamma_irradiation;48.7;37.1;7.22;150;12.5;45.5;8.5;0.52;12.5;1.2;5.1;1854.8;1.2;12.5;4.5;7.1;99.3;1221;4.5;12.5;1.2;141;0.5;chromatography_affinity;A;4.91
LOT_2025_105;16-04-2025;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;normal;steam_in_place;120.5;37.3;6.99;313;22.7;76;11.7;1.11;36.1;4.6;8.6;4790.2;2;36.3;5.8;6.9;97.4;957;8.6;15.3;2.4;443;2.5;centrifugation;B;9.38
LOT_2025_106;17-04-2025;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;maintenance;gamma_irradiation;69.8;36.3;7.24;192;17.5;56.5;9.6;0.66;18.8;2.9;6;1820.5;2;21;5.9;7;97.6;1110;5.4;14.1;1.1;245;1.4;chromatography_ion_exchange;C;6.35
LOT_2025_107;18-04-2025;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;normal;gamma_irradiation;96;36.6;7.12;187;9.4;33.2;10;0.63;20;1.5;4.6;964.5;1.3;18.2;5.3;7.1;98.8;1122;6.1;13.4;1.4;228;1.4;filtration_depth;A;5.87
LOT_2025_108;19-04-2025;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.5;37;7.2;145;11.8;44.6;8.2;0.5;11.8;1.1;4.9;927.5;1.1;11.9;4.4;7.2;99.5;1221;4.4;12.4;1.1;128;0.4;chromatography_affinity;A;4.93
LOT_2025_109;20-04-2025;inactivated;Site_Gamma;stainless_steel;2000;BioSupplies_Inc;Day;recent;steam_in_place;122.3;36.5;6.89;303;20.9;71.9;10.9;1.07;32.9;5.1;7.9;1866.5;2.6;37.4;5.6;6.7;96;891;8.3;15.7;2.9;568;3.3;centrifugation;B;8.92
LOT_2025_110;21-04-2025;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.8;36.8;7.15;283;25.4;81.2;12.2;0.87;25.1;2.4;8.3;4635.5;1.8;24.4;6.2;7;98.7;1157;5.2;14.2;0.8;214;1.1;filtration_tangential;A;7.32
LOT_2025_111;22-04-2025;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;96.9;36.5;7.1;182;8.6;30.6;9.6;0.61;18.9;1.8;4.3;486.2;1.4;18.6;5.2;7;98.2;1105;6.2;13.5;1.5;245;1.5;filtration_depth;B;5.55
LOT_2025_112;23-04-2025;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;48.3;37;7.22;149;12.5;45.2;8.5;0.52;12.3;1.2;5.1;1850.2;1.2;12.3;4.5;7.2;99.4;1217;4.5;12.5;1.2;142;0.5;chromatography_affinity;A;4.91
LOT_2025_113;24-04-2025;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Day;recent;steam_in_place;119.2;37.2;7.06;354;45.6;151.7;14.4;1.22;43.1;5;12.6;9575.5;2.3;40.3;5.5;6.9;96.7;909;9.2;16.4;2.7;485;3;centrifugation;B;12.59
LOT_2025_114;25-04-2025;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.3;36.9;7.17;202;18.6;60.6;10.6;0.76;20.3;2.2;5.5;1908.8;1.5;22.6;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.87
LOT_2025_115;26-04-2025;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;normal;gamma_irradiation;95.8;36.6;7.12;186;9.3;33;9.9;0.63;19.8;1.6;4.6;961.5;1.3;18.1;5.3;7.1;98.7;1120;6.1;13.4;1.4;231;1.4;filtration_depth;A;5.84
LOT_2025_116;27-04-2025;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;overdue;gamma_irradiation;46.2;37.5;7.08;141;11.3;43.5;8;0.48;11.3;1.5;4.8;905.2;1.5;13.8;4.3;6.9;98.3;1155;4.3;12.8;1.5;205;0.8;chromatography_affinity;B;4.58
LOT_2025_117;28-04-2025;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;normal;steam_in_place;120.4;37.3;6.99;313;22.7;75.9;11.7;1.11;36;4.6;8.6;4788;2;36.3;5.8;6.9;97.3;957;8.6;15.2;2.4;443;2.5;centrifugation;B;9.35
LOT_2025_118;29-04-2025;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.6;36.8;7.15;282;25.3;80.9;12.2;0.86;24.9;2.4;8.3;4626.5;1.8;24.3;6.2;7;98.6;1154;5.2;14.2;0.8;215;1.2;filtration_tangential;A;7.29
LOT_2025_119;30-04-2025;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;recent;steam_in_place;97.2;36.5;7.11;183;8.7;30.9;9.7;0.61;19.2;1.7;4.3;489.5;1.4;18.7;5.2;7;98.3;1109;6.2;13.5;1.5;241;1.5;filtration_depth;B;5.59
LOT_2025_120;1/5/25;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;recent;gamma_irradiation;48.8;37.1;7.22;150;12.5;45.6;8.5;0.52;12.6;1.2;5.1;1855.8;1.2;12.5;4.5;7.1;99.3;1222;4.5;12.5;1.2;140;0.5;chromatography_affinity;A;4.92
LOT_2025_121;2/5/25;inactivated;Site_Gamma;stainless_steel;2000;BioSupplies_Inc;Day;normal;steam_in_place;122;36.4;6.87;301;20.6;70.7;10.7;1.05;32.4;5.4;7.8;1855.2;2.7;37.7;5.6;6.7;95.6;882;8.2;15.8;3;591;3.4;centrifugation;C;8.59
LOT_2025_122;3/5/25;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.4;36.9;7.17;202;18.6;60.7;10.6;0.76;20.4;2.2;5.5;1909.8;1.5;22.6;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.88
LOT_2025_123;4/5/25;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;recent;gamma_irradiation;95.6;36.6;7.12;186;9.3;32.9;9.9;0.63;19.6;1.6;4.6;958.5;1.3;18.1;5.3;7.1;98.7;1119;6.1;13.4;1.4;234;1.4;filtration_depth;A;5.82
LOT_2025_124;5/5/25;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.9;37;7.21;147;12;44.9;8.3;0.51;12;1.1;4.9;932.5;1.1;12;4.4;7.2;99.5;1226;4.4;12.4;1.1;124;0.4;chromatography_affinity;A;4.96
LOT_2025_125;6/5/25;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;maintenance;steam_in_place;117.8;37.5;6.97;306;21.6;73.8;11.1;1.03;33.8;5.1;8.1;4660.5;2.4;35.9;5.7;6.8;96.6;932;8.8;15.4;2.7;515;2.8;centrifugation;C;8.85
LOT_2025_126;7/5/25;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.8;36.8;7.15;283;25.4;81.2;12.2;0.87;25.1;2.4;8.3;4634.5;1.8;24.4;6.2;7;98.7;1158;5.2;14.2;0.8;213;1.1;filtration_tangential;A;7.32
LOT_2025_127;8/5/25;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;97;36.5;7.11;182;8.6;30.7;9.6;0.61;19;1.7;4.3;487.5;1.4;18.6;5.2;7;98.3;1107;6.2;13.5;1.5;243;1.5;filtration_depth;B;5.57
LOT_2025_128;9/5/25;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;48.4;37.1;7.22;150;12.5;45.2;8.5;0.52;12.4;1.2;5.1;1851.5;1.2;12.5;4.5;7.1;99.3;1219;4.5;12.5;1.2;142;0.5;chromatography_affinity;A;4.89
LOT_2025_129;10/5/25;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Day;recent;steam_in_place;119.3;37.2;7.06;354;45.7;151.9;14.4;1.22;43.1;5;12.6;9585.5;2.3;40.3;5.5;6.9;96.7;909;9.2;16.4;2.7;485;3;centrifugation;B;12.62
LOT_2025_130;11/5/25;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.4;36.9;7.17;202;18.6;60.7;10.6;0.76;20.4;2.2;5.5;1909.5;1.5;22.6;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.88
LOT_2025_131;12/5/25;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;overdue;gamma_irradiation;94.2;36.8;7.09;178;8.8;29.6;9.2;0.57;18.3;1.9;4.3;922.5;1.5;17.8;5.2;7;98.1;1082;6.1;13.3;1.5;258;1.6;filtration_depth;C;5.42
LOT_2025_132;13-05-2025;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.9;37;7.21;147;12;44.9;8.3;0.51;12;1.1;4.9;933.5;1.1;12;4.4;7.2;99.5;1226;4.4;12.4;1.1;124;0.4;chromatography_affinity;A;4.96
LOT_2025_133;14-05-2025;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;normal;steam_in_place;120.7;37.3;7;314;22.7;76.2;11.7;1.12;36.4;4.5;8.6;4800;2;36.4;5.8;6.9;97.4;958;8.6;15.3;2.4;440;2.4;centrifugation;B;9.45
LOT_2025_134;15-05-2025;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;recent;steam_in_place;73;36.9;7.14;286;25.5;81.7;12.3;0.88;25.4;2.3;8.4;4660.5;1.7;24.5;6.3;7;98.8;1162;5.1;14;0.8;208;1.1;filtration_tangential;A;7.38
LOT_2025_135;16-05-2025;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;96.6;36.5;7.1;181;8.5;30.4;9.5;0.6;18.7;1.8;4.2;483.2;1.4;18.5;5.2;7;98.2;1103;6.2;13.5;1.5;247;1.5;filtration_depth;B;5.53
LOT_2025_136;17-05-2025;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;48.6;37.1;7.22;150;12.5;45.4;8.5;0.52;12.5;1.2;5.1;1853.8;1.2;12.5;4.5;7.1;99.3;1220;4.5;12.5;1.2;143;0.5;chromatography_affinity;A;4.9
LOT_2025_137;18-05-2025;inactivated;Site_Gamma;stainless_steel;2000;BioSupplies_Inc;Day;normal;steam_in_place;122.2;36.4;6.86;301;20.6;70.7;10.6;1.05;32.3;5.4;7.8;1854.5;2.7;37.6;5.6;6.7;95.5;881;8.2;15.8;3;593;3.4;centrifugation;C;8.57
LOT_2025_138;19-05-2025;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.3;36.9;7.17;202;18.6;60.6;10.6;0.76;20.3;2.2;5.5;1909.1;1.5;22.6;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.87
LOT_2025_139;20-05-2025;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;recent;gamma_irradiation;95.8;36.6;7.12;186;9.3;33;9.9;0.63;19.8;1.6;4.6;960.2;1.3;18.1;5.3;7.1;98.7;1120;6.1;13.4;1.4;232;1.4;filtration_depth;A;5.84
LOT_2025_140;21-05-2025;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.8;37;7.2;146;11.9;44.8;8.2;0.5;11.9;1.1;4.9;931.2;1.1;11.9;4.4;7.2;99.5;1224;4.4;12.4;1.1;126;0.4;chromatography_affinity;A;4.95
LOT_2025_141;22-05-2025;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Day;recent;steam_in_place;119.2;37.2;7.06;354;45.7;151.7;14.4;1.22;43.1;5;12.6;9572.5;2.3;40.3;5.5;6.9;96.7;909;9.2;16.4;2.7;485;3;centrifugation;B;12.6
LOT_2025_142;23-05-2025;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.7;36.8;7.15;282;25.3;80.9;12.2;0.86;24.9;2.4;8.3;4629.5;1.8;24.3;6.2;7;98.6;1154;5.2;14.2;0.8;216;1.2;filtration_tangential;A;7.29
LOT_2025_143;24-05-2025;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;97.2;36.5;7.11;183;8.6;30.9;9.6;0.61;19.2;1.7;4.3;489.5;1.4;18.6;5.2;7;98.3;1108;6.2;13.5;1.5;241;1.5;filtration_depth;B;5.59
LOT_2025_144;25-05-2025;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;recent;gamma_irradiation;48.8;37.1;7.22;150;12.5;45.6;8.5;0.52;12.6;1.2;5.1;1855.9;1.2;12.5;4.5;7.1;99.3;1222;4.5;12.5;1.2;140;0.5;chromatography_affinity;A;4.92
LOT_2025_145;26-05-2025;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;normal;steam_in_place;120.6;37.3;6.99;313;22.7;76.1;11.7;1.11;36.2;4.6;8.6;4792.2;2;36.3;5.8;6.9;97.4;957;8.6;15.3;2.4;442;2.5;centrifugation;B;9.39
LOT_2025_146;27-05-2025;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;maintenance;gamma_irradiation;69.9;36.3;7.24;192;17.5;56.6;9.6;0.66;18.9;2.9;6;1822.5;2;21;5.9;7;97.6;1110;5.4;14.1;1.1;244;1.4;chromatography_ion_exchange;C;6.36
LOT_2025_147;28-05-2025;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;normal;gamma_irradiation;96.1;36.6;7.12;187;9.4;33.3;10;0.63;20.1;1.5;4.6;965.5;1.3;18.2;5.3;7.1;98.8;1122;6.1;13.4;1.4;227;1.4;filtration_depth;A;5.88
LOT_2025_148;29-05-2025;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.6;37;7.2;145;11.8;44.7;8.2;0.5;11.8;1.1;4.9;928.5;1.1;11.9;4.4;7.2;99.5;1221;4.4;12.4;1.1;127;0.4;chromatography_affinity;A;4.93
LOT_2025_149;30-05-2025;inactivated;Site_Gamma;stainless_steel;2000;BioSupplies_Inc;Day;recent;steam_in_place;122.4;36.5;6.89;303;20.9;72;10.9;1.07;33;5.1;7.9;1867.5;2.6;37.4;5.6;6.7;96;891;8.3;15.7;2.9;567;3.3;centrifugation;B;8.93
LOT_2025_150;31-05-2025;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.9;36.8;7.15;283;25.4;81.3;12.2;0.87;25.2;2.4;8.3;4636.5;1.8;24.4;6.2;7;98.7;1157;5.2;14.2;0.8;213;1.1;filtration_tangential;A;7.33
LOT_2025_151;1/6/25;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;97;36.5;7.1;182;8.6;30.7;9.6;0.61;19;1.8;4.3;487.2;1.4;18.6;5.2;7;98.2;1105;6.2;13.5;1.5;245;1.5;filtration_depth;B;5.55
LOT_2025_152;2/6/25;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;48.4;37;7.22;149;12.5;45.3;8.5;0.52;12.4;1.2;5.1;1851.2;1.2;12.3;4.5;7.2;99.4;1217;4.5;12.5;1.2;142;0.5;chromatography_affinity;A;4.91
LOT_2025_153;3/6/25;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Day;recent;steam_in_place;119.3;37.2;7.06;354;45.6;151.8;14.4;1.22;43.2;5;12.6;9576.5;2.3;40.3;5.5;6.9;96.7;909;9.2;16.4;2.7;485;3;centrifugation;B;12.6
LOT_2025_154;4/6/25;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.4;36.9;7.17;202;18.6;60.7;10.6;0.76;20.4;2.2;5.5;1909.8;1.5;22.6;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.87
LOT_2025_155;5/6/25;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;normal;gamma_irradiation;95.9;36.6;7.12;186;9.3;33.1;9.9;0.63;19.9;1.6;4.6;962.5;1.3;18.1;5.3;7.1;98.7;1120;6.1;13.4;1.4;230;1.4;filtration_depth;A;5.85
